Player,Team,Mat,Inns,NO,Runs,HS,100s,50s,Avg,S/R,4s,6s
"Miller, D A",Kings XI Punjab,3,3,1,74,26,0,0,37,115.63,3,2
"Gambhir, G",Delhi Capitals,6,5,0,85,55,0,1,17,96.59,8,1
"Hooda, D J",Sunrisers Hyderabad,9,8,4,87,32,0,0,21.75,107.41,2,3
"Jadeja, R A",Chennai Super Kings,16,10,5,89,27,0,0,17.8,120.27,3,4
"Stoinis, M P",Kings XI Punjab,7,7,3,99,29,0,0,24.75,130.26,6,4
"Roy, J J",Delhi Capitals,5,5,1,120,91*,0,1,30,127.66,9,7
"McCullum, B B",Royal Challengers Bangalore,6,6,0,127,43,0,0,21.17,144.32,16,6
"de Grandhomme, C",Royal Challengers Bangalore,9,8,3,131,40,0,0,26.2,155.95,4,10
"Pollard, K A",Mumbai Indians,9,8,1,133,50,0,1,19,133,10,7
"Bravo, D J J",Chennai Super Kings,16,10,6,141,68,0,1,35.25,154.95,8,10
"Hales, A D",Sunrisers Hyderabad,6,6,0,148,45,0,0,24.67,125.42,13,6
"Patel, P A",Royal Challengers Bangalore,6,6,1,153,53,0,1,30.6,140.37,20,4
"du Plessis, F",Chennai Super Kings,6,6,1,162,67,0,1,32.4,125.58,17,6
"de Kock, Q",Royal Challengers Bangalore,8,8,0,201,53,0,1,25.13,124.07,20,8
Shubman Gill,Kolkata Knight Riders,13,11,5,203,57,0,1,33.83,146.04,22,5
"Shankar, V",Delhi Capitals,13,11,7,212,54,0,1,53,143.24,11,11
"Tripathi, R A",Rajasthan Royals,12,12,3,226,80,0,1,25.11,135.33,18,8
"Pandya, K H",Mumbai Indians,14,13,3,228,41,0,0,22.8,145.22,22,10
Shakib Al Hasan,Sunrisers Hyderabad,17,13,2,239,35,0,0,21.73,121.32,26,5
"Shaw, P P",Delhi Capitals,9,9,0,245,65,0,2,27.22,153.13,27,10
Mandeep Singh,Royal Challengers Bangalore,14,13,3,252,47,0,0,25.2,135.48,16,11
"Pandya, H H",Mumbai Indians,13,13,4,260,50,0,1,28.89,133.33,20,11
"Pathan, Y K",Sunrisers Hyderabad,15,13,4,260,45,0,0,28.89,130,22,11
Ishan Kishan,Mumbai Indians,14,12,0,275,62,0,2,22.92,149.46,22,17
"Pandey, M K",Sunrisers Hyderabad,15,13,2,284,62,0,3,25.82,115.45,22,5
"Sharma, R G",Mumbai Indians,14,14,2,286,94,0,2,23.83,133.02,25,12
"Nair, K K",Kings XI Punjab,13,12,0,301,54,0,2,25.08,136.2,23,13
"Rana, N",Kolkata Knight Riders,15,15,2,304,59,0,1,23.38,131.03,26,14
"Russell, A D",Kolkata Knight Riders,16,14,3,316,88*,0,1,28.73,184.8,17,31
"Uthappa, R V",Kolkata Knight Riders,16,16,0,351,54,0,1,21.94,132.45,30,21
"Narine, S P",Kolkata Knight Riders,16,16,0,357,75,0,2,22.31,189.89,40,23
"Gayle, C H",Kings XI Punjab,11,11,2,368,104,1,3,40.89,146.03,30,27
"Rahane, A M",Rajasthan Royals,15,14,1,370,65,0,1,28.46,118.21,39,5
"Lewis, E",Mumbai Indians,13,13,0,382,65,0,2,29.38,138.41,32,24
"Iyer, S S",Delhi Capitals,14,14,3,411,93,0,4,37.36,132.58,29,21
"Samson, S V",Rajasthan Royals,15,15,1,441,92,0,3,31.5,137.81,30,19
"Raina, S K",Chennai Super Kings,15,15,3,445,75,0,4,37.08,132.44,46,12
"Dhoni, M S",Chennai Super Kings,16,15,9,455,79,0,3,75.83,150.66,24,30
"de Villiers, A B",Royal Challengers Bangalore,12,11,2,480,90,0,6,53.33,174.55,39,30
"Lynn, C A",Kolkata Knight Riders,16,16,1,491,74,0,3,32.73,130.24,56,18
"Dhawan, S",Sunrisers Hyderabad,16,16,3,497,92,0,4,38.23,136.91,59,14
"Karthik, K D",Kolkata Knight Riders,16,16,6,498,52,0,2,49.8,147.77,49,16
"Yadav, S A",Mumbai Indians,14,14,0,512,72,0,4,36.57,133.33,61,16
"Kohli, V",Royal Challengers Bangalore,14,14,3,530,92,0,4,48.18,139.11,52,18
"Buttler, J C",Rajasthan Royals,13,13,3,548,95*,0,5,54.8,155.24,52,21
"Watson, S R",Chennai Super Kings,15,15,1,555,117*,2,2,39.64,154.6,44,35
"Rayudu, A T",Chennai Super Kings,16,16,2,602,100*,1,3,43,149.75,53,34
"Rahul, K L",Kings XI Punjab,14,14,2,659,95,0,6,54.92,158.41,66,32
"Pant, R R",Delhi Capitals,14,14,1,684,128*,1,5,52.62,173.6,68,37
"Williamson, K S",Sunrisers Hyderabad,17,17,3,735,84,0,8,52.5,142.44,63,28
