Player,Team,Mat,Inns,NO,Runs,HS,100s,50s,Avg,S/R,4s,6s
"Warner, D A",Sunrisers Hyderabad,12,12,2,692,100,1,8,69.2,143.87,57,21
"Rahul, K L",Kings XI Punjab,14,14,3,593,100,1,6,53.91,135.39,49,25
"Russell, A D",Kolkata Knight Riders,14,13,4,510,80,0,4,56.67,204.82,31,52
"de Kock, Q",Mumbai Indians,16,16,1,529,81,0,4,35.27,132.91,45,25
"Dhawan, S",Delhi Capitals,16,16,1,521,97*,0,5,34.73,135.68,64,11
"Gayle, C H",Kings XI Punjab,13,13,1,490,99,0,4,40.83,153.61,45,34
"Pant, R R",Delhi Capitals,16,16,3,488,78,0,3,37.54,162.67,37,27
"Kohli, V",Royal Challengers Bangalore,14,14,0,464,100,1,2,33.14,141.46,46,13
"de Villiers, A B",Royal Challengers Bangalore,13,13,3,442,82,0,5,44.2,154.01,31,26
"Bairstow, J M",Sunrisers Hyderabad,10,10,2,445,114,1,2,55.63,157.24,48,18
"Iyer, S S",Delhi Capitals,16,16,1,463,67,0,3,30.87,119.95,41,14
"Lynn, C A",Kolkata Knight Riders,13,13,0,405,82,0,4,31.15,139.66,41,22
"Dhoni, M S",Chennai Super Kings,15,12,7,416,84*,0,3,83.2,134.63,22,23
"Yadav, S A",Mumbai Indians,16,15,2,424,71,0,2,32.62,130.86,45,10
"Watson, S R",Chennai Super Kings,17,17,0,398,96,0,3,23.41,127.56,42,20
"Pandya, H H",Mumbai Indians,16,15,6,402,91,0,1,44.67,191.43,28,29
"Sharma, R G",Mumbai Indians,15,15,1,405,67,0,2,28.93,128.57,52,10
"du Plessis, F",Chennai Super Kings,12,12,1,396,96,0,3,36,123.36,36,15
"Rahane, A M",Rajasthan Royals,14,13,1,393,105*,1,1,32.75,137.89,45,9
"Raina, S K",Chennai Super Kings,17,17,1,383,59,0,3,23.94,121.97,45,9
"Patel, P A",Royal Challengers Bangalore,14,14,0,373,67,0,2,26.64,139.18,48,10
"Rana, N",Kolkata Knight Riders,14,11,1,344,85*,0,3,34.4,146.38,27,21
"Shaw, P P",Delhi Capitals,16,16,0,353,99,0,2,22.06,133.71,45,9
"Pandey, M K",Sunrisers Hyderabad,12,11,3,344,83,0,3,43,130.8,34,6
"Samson, S V",Rajasthan Royals,12,12,2,342,102*,1,0,34.2,148.7,28,13
"Agarwal, M A",Kings XI Punjab,13,13,0,332,58,0,2,25.54,141.88,26,14
"Buttler, J C",Rajasthan Royals,8,8,0,311,89,0,3,38.88,151.71,38,14
"Smith, S P D",Rajasthan Royals,12,10,2,319,73,0,3,39.88,116,30,4
Shubman Gill,Kolkata Knight Riders,14,13,4,296,76,0,3,32.89,124.37,21,10
"Pollard, K A",Mumbai Indians,16,14,6,279,83,0,1,34.88,156.74,14,22
"Uthappa, R V",Kolkata Knight Riders,12,11,2,282,67,0,1,31.33,115.1,28,10
"Rayudu, A T",Chennai Super Kings,17,17,5,282,57,0,1,23.5,93.07,20,7
"Karthik, K D",Kolkata Knight Riders,14,13,5,253,97*,0,2,31.63,146.24,22,14
"Ali, M M",Royal Challengers Bangalore,11,10,2,220,66,0,2,27.5,165.41,16,17
"Shankar, V",Sunrisers Hyderabad,15,14,2,244,40,0,0,20.33,126.42,11,12
"Miller, D A",Kings XI Punjab,10,10,1,213,59,0,1,23.67,129.88,19,7
"Stoinis, M P",Royal Challengers Bangalore,10,10,6,211,46,0,0,52.75,135.26,14,10
"Khan, S N",Kings XI Punjab,8,5,1,180,67,0,1,45,125.87,19,4
"Pooran, N",Kings XI Punjab,7,6,0,168,48,0,0,28,157.01,9,14
"Parag, R",Rajasthan Royals,7,5,0,160,50,0,1,32,126.98,17,5
"Williamson, K S",Sunrisers Hyderabad,9,9,2,156,70,0,1,22.29,120,12,5
Mandeep Singh,Kings XI Punjab,13,12,8,165,33,0,0,41.25,137.5,10,4
"Tripathi, R A",Rajasthan Royals,8,7,1,141,50,0,1,23.5,119.49,13,2
"Stokes, B A",Rajasthan Royals,9,9,3,123,46,0,0,20.5,124.24,8,4
Mohammad Nabi,Sunrisers Hyderabad,8,7,1,115,31,0,0,19.17,151.32,8,7
Yuvraj Singh,Mumbai Indians,4,4,0,98,53,0,1,24.5,130.67,7,6
"Jadeja, R A",Chennai Super Kings,16,9,6,106,31,0,0,35.33,120.45,7,4
Gurkeerat Singh,Royal Challengers Bangalore,3,3,0,98,65,0,1,32.67,140,11,2
"Munro, C",Delhi Capitals,4,4,0,84,40,0,0,21,120,9,4
"Vijay, M",Chennai Super Kings,2,2,0,64,38,0,0,32,104.92,6,1
